,Name,log2FoldChange,padj,type,-log10padj,color
791,ramB,-0.102,0.807978290903147,coding,0.0926003078734693,Not significative
792,rsmA,0.811,0.0008340992289849,non-coding,3.078782280253028,-1 < log2FC < 1
793,htdX,0.71,0.0004701021501789,coding,3.327807762407374,-1 < log2FC < 1
794,trmD,0.396,0.0610261797459562,non-coding,1.214483816135167,Not significative
795,mbtI,0.627,0.0001682424508697,pseudogene,3.7740644136964754,-1 < log2FC < 1
796,rsfS,0.914,2.23218550047034e-08,coding,7.651269717224101,-1 < log2FC < 1
797,typA,0.612,0.0001445011860704,non-coding,3.840128588189677,-1 < log2FC < 1
798,garA,0.403,0.163957490630771,pseudogene,0.7852687371812793,Not significative
799,idsA1,0.426,0.0148703848512395,pseudogene,1.8276777916255345,-1 < log2FC < 1
800,recG,-0.122,0.65435245709923,non-coding,0.1841882624686571,Not significative
801,rseA,-0.121,0.570286467007508,non-coding,0.243906934172736,Not significative
802,murJ,0.545,0.0324490959961807,coding,1.488797397764663,-1 < log2FC < 1
803,tcrX,-0.235,0.215574717908494,coding,0.6664021735254361,Not significative
804,kstR2,-0.637,0.000170835100537,pseudogene,3.767422892409444,-1 < log2FC < 1
805,cpnT,-0.598,0.0004726502461983,pseudogene,3.3254601115510547,-1 < log2FC < 1
806,aroQ,-0.028,0.878247647748489,pseudogene,0.0563830047254834,Not significative
807,rsmG,-0.033,0.869431963440941,coding,0.060764397627063,Not significative
808,rpsA,0.545,0.150394139181607,pseudogene,0.8227690877515714,Not significative
809,uvrA,-0.686,0.137399050522958,non-coding,0.862016268397755,Not significative
810,mbtJ,-0.44,0.206359144029359,coding,0.685376282233586,Not significative
811,lpqH,0.185,0.654722323981886,pseudogene,0.1839428507431054,Not significative
812,pknG,0.326,0.40984909773288,non-coding,0.3873760166590075,Not significative
813,vapB33,0.033,0.911417356568763,pseudogene,0.0402827051915067,Not significative
814,ggtA,0.17,0.495765736500791,pseudogene,0.3047234916118363,Not significative
815,ppiA,0.321,0.189595881717405,pseudogene,0.7221711003673125,Not significative
816,hisF,0.109,0.692997749956323,non-coding,0.1592681754648733,Not significative
817,ephB,0.02,0.953891259313289,non-coding,0.0205011307171573,Not significative
818,grcC,-0.128,0.613402887391384,pseudogene,0.2122541840509675,Not significative
819,mmcO,0.033,0.889304603448173,non-coding,0.0509494595712531,Not significative
820,pcrA,0.289,0.343046351658303,coding,0.4646471950902084,Not significative
821,pknF,0.352,0.149540970340112,pseudogene,0.8252398056340432,Not significative
822,pknI,-0.024,0.91467981308638,coding,0.0387309056552382,Not significative
823,bcpB,-0.238,0.264171214303856,non-coding,0.5781145075015304,Not significative
824,folK,1.72,2.85894980835398e-28,coding,27.54379346903734,log2FC > 1
825,lprM,1.528,4.16522153125006e-21,pseudogene,20.380361895279783,log2FC > 1
826,htdY,-0.806,4.57211952498283e-05,coding,4.339882424741765,-1 < log2FC < 1
827,eccD4,-1.366,1.40676330398588e-13,coding,12.851778968962076,log2FC < -1
828,fhaA,-0.214,0.162715006506195,pseudogene,0.7885723921012775,Not significative
829,esxJ,-0.032,0.914995891432553,coding,0.0385808560233624,Not significative
830,tatC,0.008,0.97179871111989,non-coding,0.0124236812700189,Not significative
831,moeZ,-0.533,0.0019223959571764,pseudogene,2.716157155530117,-1 < log2FC < 1
832,glpX,-0.7,0.0011934568500564,non-coding,2.923193278476387,-1 < log2FC < 1
833,zur,-0.796,0.000779090139124,non-coding,3.108412292443661,-1 < log2FC < 1
834,mazF3,-0.654,7.20848751467301e-05,coding,4.142155849419028,-1 < log2FC < 1
835,pbpB,-0.324,0.0100742692629791,pseudogene,1.996786445590356,-1 < log2FC < 1
836,serS,-0.13,0.670800955262571,non-coding,0.1734063276029704,Not significative
837,pstS,-0.16,0.589416434191612,pseudogene,0.2295777592576759,Not significative
838,mec,-0.184,0.580939962004581,pseudogene,0.2358687480182804,Not significative
839,sufR,-0.507,0.0342114989723007,non-coding,1.465827896842799,-1 < log2FC < 1
840,eccC5,-0.223,0.572206682154476,coding,0.242447074867227,Not significative
841,hisC,-0.88,1.2610626486922e-06,pseudogene,5.899263337451127,-1 < log2FC < 1
842,rpmB,-1.212,2.55386035469158e-11,coding,10.592802853683777,log2FC < -1
843,rpmI,0.36,0.216757604883368,pseudogene,0.6640256564771576,Not significative
844,aftB,0.433,0.0017063421270183,coding,2.767933887014104,-1 < log2FC < 1
845,lnt,0.197,0.49058222483357,non-coding,0.309288191548602,Not significative
846,rplS,0.074,0.793459171942715,coding,0.1004754152937194,Not significative
847,leuA,0.18,0.213664310065593,coding,0.6702680152062417,Not significative
848,yajC,-0.459,0.0410802744425735,non-coding,1.3863666636994638,-1 < log2FC < 1
849,mmsB,0.183,0.624286315551019,coding,0.2046161847640757,Not significative
850,scpB,0.066,0.726755827883882,coding,0.1386114769188515,Not significative
851,pknE,-0.434,0.0502899237676512,non-coding,1.2985190227070411,Not significative
852,rpmG,0.108,0.562663703810809,coding,0.2497510993174743,Not significative
853,cwsA,0.257,0.14608392036459,pseudogene,0.8353975847586909,Not significative
854,rfbB,-0.299,0.0818826976832634,non-coding,1.086807857635624,Not significative
855,dprA,-0.412,0.0106708561405092,non-coding,1.9718007350101383,-1 < log2FC < 1
856,trxA,-0.108,0.579876467145096,non-coding,0.23666451566359,Not significative
857,rpsJ,-0.247,0.40300169610233,pseudogene,0.3946931260516136,Not significative
858,lmeA,-0.651,0.0002960572455456,coding,3.5286243057626367,-1 < log2FC < 1
859,rpsC,-0.853,2.2767630356386e-05,coding,4.642682168185871,-1 < log2FC < 1
860,recR,-0.717,8.23594532401276e-08,pseudogene,7.08428654519611,-1 < log2FC < 1
861,mbtM,-0.234,0.186821482441797,coding,0.7285731860850355,Not significative
862,purS,-0.303,0.0485837131934595,pseudogene,1.3135092956691576,-1 < log2FC < 1
863,pknA,0.051,0.817063217360687,pseudogene,0.0877443401765626,Not significative
864,ppx1,-0.004,0.989487674172953,coding,0.0045896113332919,Not significative
865,sufC,-0.412,0.0868937594777432,non-coding,1.061011412523707,Not significative
866,mce3R,-0.064,0.8206417148151,coding,0.0858464107744743,Not significative
867,hrp1,-0.945,0.0014926687556233,non-coding,2.826036557690784,-1 < log2FC < 1
